Rate of Growth,Number of Droplets,Background Area
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
1.0,20.0,409719.0
