Droplet #,X-Centroid,Y-Centroid,Horizontal,Vertical,Area,Droplet/No Droplet
1.0,233.29524914675767,270.5373515358362,552.0,552.0,956770.5599999999,NOT a droplet
2.0,28.138383838383838,41.00888888888889,85.0,117.0,32031.14,ok
3.0,287.92554846220645,211.3889286498144,552.0,552.0,956770.5599999999,NOT a droplet
4.0,247.30256898192198,8.058991436726927,88.0,42.0,13266.5,ok
5.0,479.19105087263273,38.28741180839213,93.0,112.0,32989.625,ok
6.0,348.3184796854522,70.30799475753604,50.0,55.0,8654.625,ok
7.0,253.77116753426114,141.27568256666314,154.0,158.0,76415.04000000001,ok
8.0,44.61456102783726,147.56959314775162,48.0,46.0,6936.26,ok
9.0,56.0,139.0,25.0,25.0,1962.5,NOT a droplet
10.0,111.33968804159446,159.79549393414212,47.0,48.0,7084.625,ok
11.0,353.136712749616,166.2442396313364,47.0,51.0,7539.14,ok
12.0,472.374541003672,196.94981640146878,48.0,57.0,8654.625,ok
13.0,74.5,190.5,26.0,26.0,2122.64,NOT a droplet
14.0,368.90697674418607,196.11627906976744,27.0,27.0,2289.06,NOT a droplet
15.0,2.0,203.0,25.0,27.0,2122.64,NOT a droplet
16.0,72.94451043611063,278.0128118106228,166.0,177.0,92354.465,ok
17.0,207.30922242314648,222.04701627486438,45.0,47.0,6644.24,ok
18.0,31.5,222.5,26.0,26.0,2122.64,NOT a droplet
19.0,134.0,227.5,25.0,26.0,2041.785,NOT a droplet
20.0,327.080303030303,240.59848484848484,48.0,51.0,7693.785000000001,ok
21.0,264.11254440082257,295.2796784445691,107.0,109.0,36624.96,ok
22.0,346.5777777777778,269.7851851851852,34.0,36.0,3846.5,ok
23.0,509.06666666666666,305.7733333333333,26.0,37.0,3115.6650000000004,NOT a droplet
24.0,14.5,307.0,28.0,25.0,2205.065,NOT a droplet
25.0,248.875,331.375,27.0,26.0,2205.065,NOT a droplet
26.0,456.72671970051476,417.91091483387925,165.0,214.0,112758.185,ok
27.0,52.934802741248376,416.2054084089646,168.0,206.0,109802.66000000002,NOT a droplet
28.0,176.89332206255284,391.48030431107355,111.0,111.0,38687.94,ok
29.0,301.8880597014925,385.5223880597015,34.0,32.0,3419.46,ok
30.0,314.28395061728395,421.75308641975306,27.0,33.0,2826.0,NOT a droplet
31.0,126.57142857142857,439.42857142857144,26.0,26.0,2122.64,NOT a droplet
32.0,288.3,443.0,26.0,29.0,2374.6250000000005,NOT a droplet
33.0,100.54812483608707,483.40833988985054,97.0,83.0,25434.000000000004,ok
34.0,321.57421875,466.2734375,37.0,40.0,4654.265,ok
35.0,226.47720465890183,490.4509151414309,96.0,69.0,21371.625,ok
